284222,Peng ?,彭䪧,1432.0,19,,0.0,6034.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Peng,彭,?,䪧,19.0,0.0,Index year algorithmically generated: Rule 10;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284223,Wang Qin,王欽,1451.0,13,,0.0,5460.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Qin,欽,19.0,0.0,Index year algorithmically generated: Rule 9;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284224,Zheng Shi(Mother of Wangrubin),鄭氏(王汝賓母),1454.0,15,,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Zheng,鄭,Shi(Mother of Wangrubin),氏(王汝賓母),19.0,0.0,Index year algorithmically generated: Rule 9W;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284225,Liu Shi(Wife of Wangrubin),劉氏(王汝賓妻),1484.0,03,202144.0,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Liu,劉,Shi(Wife of Wangrubin),氏(王汝賓妻),19.0,0.0,Index year algorithmically generated: Rule 4W;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284226,Wang Ruchen,王汝臣,1483.0,19,,0.0,5460.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Ruchen,汝臣,19.0,0.0,Index year algorithmically generated: Rule 10;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284227,Wang Ruzhe,王汝浙,1483.0,19,,0.0,5460.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Ruzhe,汝浙,19.0,0.0,Index year algorithmically generated: Rule 10;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284228,Shi Bitong,史必通,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Shi,史,Bitong,必通,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284229,Shi Guoyong,史國用,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Shi,史,Guoyong,國用,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284230,Shi Benduan,史本端,1461.0,14,,0.0,5401.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Shi,史,Benduan,本端,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284231,Wu Shi(Mother of Shilimo),吳氏(史立模母),,,,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wu,吳,Shi(Mother of Shilimo),氏(史立模母),19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284232,Su Shi(Wife of Shilimo),蘇氏(史立模妻),1494.0,06,127053.0,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Su,蘇,Shi(Wife of Shilimo),氏(史立模妻),19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284233,Peng Ying,彭韹,1432.0,19,,0.0,6034.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Peng,彭,Ying,韹,19.0,0.0,Index year algorithmically generated: Rule 10;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284234,Shi Lixiang,史立相,1493.0,20,,0.0,5401.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Shi,史,Lixiang,立相,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284235,Shi Lizhen,史立楨,1493.0,20,,0.0,5401.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Shi,史,Lizhen,立楨,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284236,Du Lin,杜林,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Du,杜,Lin,林,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284237,Du Su,杜肅,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Du,杜,Su,肅,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284238,Du Guan,杜貫,1454.0,13,,0.0,5190.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Du,杜,Guan,貫,19.0,0.0,Index year algorithmically generated: Rule 9;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284239,Yang Shi(Mother of Dusui),楊氏(杜璲母),1457.0,15,,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Yang,楊,Shi(Mother of Dusui),氏(杜璲母),19.0,0.0,Index year algorithmically generated: Rule 9W;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284240,Zou Shi(Stepmother of Dusui),鄒氏(杜璲繼母),,,,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Zou,鄒,Shi(Stepmother of Dusui),氏(杜璲繼母),19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284241,Li Shi(Wife of Dusui),李氏(杜璲妻),1487.0,03,202145.0,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Li,李,Shi(Wife of Dusui),氏(杜璲妻),19.0,0.0,Index year algorithmically generated: Rule 4W;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284242,Du Lun,杜崙,1482.0,21,,0.0,5190.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Du,杜,Lun,崙,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284243,Du Yue,杜玥,1486.0,19,,0.0,5190.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Du,杜,Yue,玥,19.0,0.0,Index year algorithmically generated: Rule 10;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284244,Yang Zhongxian,楊仲賢,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Yang,楊,Zhongxian,仲賢,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284245,Wang Zhounan,王周南,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Zhounan,周南,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284246,Wang Dan,王亶,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Dan,亶,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284247,Wang Hao,王鎬,1455.0,13,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Hao,鎬,19.0,0.0,Index year algorithmically generated: Rule 9;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284248,Yan Shi(Mother of Wangzhu),顏氏(王洙母),1458.0,15,,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Yan,顏,Shi(Mother of Wangzhu),氏(王洙母),19.0,0.0,Index year algorithmically generated: Rule 9W;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284249,Hou Shi(Wife of Wangzhu),侯氏(王洙妻),1488.0,03,202146.0,1.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Hou,侯,Shi(Wife of Wangzhu),氏(王洙妻),19.0,0.0,Index year algorithmically generated: Rule 4W;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284250,Wang Mi,王泌,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Mi,泌,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284251,Wang Zhuan,王漙,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Zhuan,漙,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284252,Wang Guan,王灌,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Guan,灌,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284253,Wang Hui,王匯,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Hui,匯,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284254,Wang Bian,王汴,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Bian,汴,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284255,Yang Zian,楊子安,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Yang,楊,Zian,子安,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284256,Wang Ji,王汲,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Ji,汲,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284257,Wang Shu,王淑,1483.0,21,,0.0,5413.0,1.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Wang,王,Shu,淑,19.0,0.0,Index year algorithmically generated: Rule 11;,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
284258,Yang Wang,楊旺,,,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,Yang,楊,Wang,旺,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,load,,1.0,2013-09-23 00:00:00,
